"User_hour_ID","User_daily_ID","Hour","MoodEA","MoodTA","Health","Location","Activity","rec_no","id","device_id"
"lethivui_2016_7_24_17","lethivui_2016_7_24","17","2","2","Normal","Home","Individual Task","4","557","ae93bc259cdc15e5"
"trinhthikhanhquynh_2016_7_24_17","trinhthikhanhquynh_2016_7_24","17","4","0","Good","On the Road","Individual Task","26","558","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_24_18","trinhthikhanhquynh_2016_7_24","18","4","0","Good","On the Road","Individual Task","27","563","d4d4f36a74a6edb4"
"lethivui_2016_7_24_18","lethivui_2016_7_24","18","2","2","Normal","Home","Individual Task","5","565","ae93bc259cdc15e5"
"trinhthikhanhquynh_2016_7_24_19","trinhthikhanhquynh_2016_7_24","19","4","1","Good","Home","Individual Task","28","566","d4d4f36a74a6edb4"
"lethivui_2016_7_24_19","lethivui_2016_7_24","19","1","2","Normal","On the Road","Individual Task","6","568","ae93bc259cdc15e5"
"trinhthikhanhquynh_2016_7_24_20","trinhthikhanhquynh_2016_7_24","20","3","0","Good","Home","Individual Task","29","569","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_24_21","trinhthikhanhquynh_2016_7_24","21","3","0","Good","Home","Individual Task","30","570","d4d4f36a74a6edb4"
"lethivui_2016_7_24_21","lethivui_2016_7_24","21","1","2","Normal","Home","Individual Task","7","572","ae93bc259cdc15e5"
"_2016_7_24_21","_2016_7_24","21","0","0","Good","Home","Offical Task","8","574","ae93bc259cdc15e5"
"lethivui_2016_7_24_23","lethivui_2016_7_24","23","1","2","Bad","Home","Individual Task","9","579","ae93bc259cdc15e5"
"lethivui_2016_7_25_0","lethivui_2016_7_25","0","0","2","Bad","Home","Individual Task","10","582","ae93bc259cdc15e5"
"trinhthikhanhquynh_2016_7_25_7","trinhthikhanhquynh_2016_7_25","7","3","0","Good","Home","Individual Task","31","584","d4d4f36a74a6edb4"
"lethivui_2016_7_25_7","lethivui_2016_7_25","7","2","2","Normal","Home","Individual Task","11","586","ae93bc259cdc15e5"
"trinhthikhanhquynh_2016_7_25_9","trinhthikhanhquynh_2016_7_25","9","3","0","Good","Home","Individual Task","32","587","d4d4f36a74a6edb4"
"lethivui_2016_7_25_9","lethivui_2016_7_25","9","1","2","Bad","Home","Individual Task","12","589","ae93bc259cdc15e5"
"trinhthikhanhquynh_2016_7_25_11","trinhthikhanhquynh_2016_7_25","11","4","0","Good","Home","Individual Task","34","590","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_25_12","trinhthikhanhquynh_2016_7_25","12","4","0","Good","Home","Offical Task","35","591","d4d4f36a74a6edb4"
"hoangdd_2016_7_25_13","hoangdd_2016_7_25","13","1","2","Good","Home","Relaxing activities","29","592","5d4b166b16abef5f"
"trinhthikhanhquynh_2016_7_25_13","trinhthikhanhquynh_2016_7_25","13","4","0","Good","Home","Individual Task","36","593","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_25_14","trinhthikhanhquynh_2016_7_25","14","3","0","Good","Home","Individual Task","37","594","d4d4f36a74a6edb4"
